"timestamp","price","size","side","vix"
1441891800149167,193775,4,"A",2660
1441891800164632,193775,44,"B",2660
1441891800269386,193850,1,"B",2655
1441891800673219,193775,5,"A",2655
1441891800832501,193775,24,"B",2655
1441891801066573,193800,2,"A",2655
1441891801280380,193800,4,"A",2655
1441891801453910,193800,2,"A",2655
1441891801677730,193800,1,"B",2655
1441891801900609,193825,10,"A",2655
1441891801955973,193850,41,"A",2655
1441891802177662,193800,87,"B",2655
1441891802371634,193875,1,"A",2655
1441891802577600,193850,62,"B",2655
1441891802592025,193875,2,"A",2655
1441891803040558,193850,3,"A",2655
1441891803680133,193900,1,"B",2655
1441891804110947,193875,1,"B",2655
1441891804466428,193900,1,"B",2655
1441891804547081,193875,1,"A",2655
1441891804774299,193850,3,"A",2655
1441891804784238,193875,4,"A",2655
1441891805570615,193875,2,"B",2655
1441891805770751,193825,1,"B",2655
1441891805991076,193850,2,"A",2655
1441891806652177,193850,59,"A",2655
1441891806883503,193850,4,"A",2655
1441891807527907,193850,1,"A",2655
1441891807970873,193850,8,"A",2655
1441891808192192,193850,1,"A",2655
1441891808410541,193825,2,"B",2655
1441891808981847,193850,12,"B",2655
1441891809856501,193850,5,"B",2655
1441891809861837,193900,1,"A",2655
1441891810087437,193875,2,"B",2655
1441891811396002,193900,1,"A",2655
1441891811834049,193900,4,"A",2655
1441891812281440,193900,2,"A",2655
1441891813591177,193900,3,"B",2655
1441891814486395,193925,2,"B",2655
1441891814708693,193925,3,"B",2655
1441891815156370,193925,1,"A",2650
1441891815583540,193900,1,"B",2650
1441891815803540,193875,5,"B",2650
1441891816205464,193900,14,"A",2650
1441891816211095,193875,37,"B",2650
1441891817241472,193875,9,"B",2650
1441891817668141,193875,22,"A",2650
1441891817888208,193825,2,"B",2655
1441891818766778,193825,10,"A",2655
1441891818774584,193825,16,"A",2655
1441891819428013,193825,25,"B",2655
1441891819857281,193850,1,"A",2655
1441891820511805,193825,1,"A",2655
1441891820558771,193775,1,"B",2655
1441891821047844,193775,3,"B",2655
1441891821919037,193775,1,"B",2660
1441891822004597,193775,6,"A",2660
1441891823551045,193750,1,"B",2660
1441891823995669,193775,1,"A",2660
1441891824429421,193800,1,"A",2660
1441891825385468,193775,5,"A",2660
1441891825827379,193750,1,"B",2660
1441891826262852,193775,2,"A",2665
1441891827141764,193750,11,"A",2665
1441891827797871,193750,1,"A",2665
1441891828017868,193725,1,"B",2665
1441891828895321,193700,7,"B",2665
1441891829117684,193750,3,"A",2665
1441891829773684,193750,5,"B",2665
1441891830675515,193750,10,"A",2665
1441891831245481,193725,2,"B",2665
1441891831690130,193750,2,"A",2665
1441891831933595,193725,175,"B",2665
1441891832345436,193750,50,"B",2665
1441891833223018,193750,11,"B",2665
1441891833894980,193750,3,"B",2665
1441891835658274,193800,1,"A",2665
1441891835659460,193775,1,"B",2665
1441891836757522,193800,1,"A",2665
1441891837854418,193775,6,"B",2665
1441891837980036,193775,7,"A",2665
1441891837994511,193750,1,"A",2665
1441891838201461,193775,3,"A",2665
1441891838859102,193750,32,"B",2660
1441891839328173,193850,1,"A",2660
1441891839881936,193850,2,"A",2660
1441891840755117,193850,1,"A",2660
1441891841210318,193825,3,"B",2660
1441891841588199,193825,12,"A",2660
1441891841810740,193775,26,"A",2660
1441891842912474,193750,5,"A",2665
1441891843141503,193725,4,"B",2665
1441891843565001,193750,7,"B",2665
1441891843570506,193750,51,"B",2665
1441891844477966,193775,1,"A",2665
1441891845141575,193750,1,"B",2665
1441891845358761,193775,1,"A",2665
1441891845577812,193750,10,"A",2665
1441891846894241,193725,29,"B",2670
1441891847334113,193725,6,"A",2670
1441891847506638,193700,5,"B",2670
1441891847731679,193775,1,"A",2670
1441891848170774,193750,14,"A",2670
1441891848390899,193725,3,"A",2665
1441891849048642,193725,47,"A",2665
1441891849708528,193700,1,"B",2665
1441891850589671,193725,1,"B",2665
1441891851900490,193725,1,"A",2665
1441891852787745,193725,1,"A",2665
1441891853875652,193700,1,"A",2665
1441891854314391,193700,68,"A",2665
1441891854628431,193650,1,"B",2670
1441891854849503,193675,2,"B",2670
1441891856831052,193700,4,"A",2670
1441891857480337,193675,3,"B",2670
